"Alasdair Murray",,,,
"Alexander Springham",,,,
"Ben Grower",,,,
"Charles Ford",,,,
"Cynthia Blake",,,,
"Dafydd Williams",,,,
"David Stokes","Q76450630","2005 United Kingdom general election","Bournemouth East","Labour Party"
"David Stokes","Q76450630","2010 United Kingdom general election","Bournemouth East","Labour Party"
"David Stokes","Q76450630","2019 United Kingdom general election","Bournemouth West","Labour Party"
"Dennis Gritt",,,,
"Dick Franklin",,,,
"Elizabeth McManus",,,,
"Fiona Hornby",,,,
"G Hubbard",,,,
"George W Spicer",,,,
"Harvey Taylor",,,,
"Janet Dover",,,,
"Jason Halsey",,,,
"John E. Mills",,,,
"John F Mills",,,,
"Jon Nicholas","Q75838730","2015 United Kingdom general election","Bournemouth East","Liberal Democrats"
"Jon Nicholas","Q75838730","2017 United Kingdom general election","Bournemouth East","Liberal Democrats"
"Jon Nicholas","Q75838730","2019 United Kingdom general election","Bournemouth West","Liberal Democrats"
"K Horrocks",,,,
"L. F. Bennett",,,,
"LF Bennett",,,,
"Linda Tooley",,,,
"Lionel F Bennett",,,,
"M James",,,,
"Martin Houlden",,,,
"Michael Maclaire-Hillier",,,,
"Mike Plummer","Q98560882","2005 United Kingdom general election","Poole","Liberal Democrats"
"Mike Plummer","Q98560882","2017 United Kingdom general election","Poole","Liberal Democrats"
"Peter Craven",,,,
"Peter J. Brushett",,,,
"Phil Dunn",,,,
"Philip Glover",,,,
"Richard Renaut",,,,
"Ronald Jones",,,,
"Ronald Mills","Q62609370","2008 Canadian federal election","West Nova","Green Party of Canada"
"Sharon Carr-Brown",,,,
"Simon Bull","Q75975308","2019 United Kingdom general election","Bournemouth West","Green Party of England and Wales"
"Terence D. G. Richards",,,,
"WA Boddy",,,,
